,Species,Brain,Days,Region,Period,time,PAM Cluster
HSB122.DFC,Human,HSB122,631,DFC,9,9,3
HSB122.HIP,Human,HSB122,631,HIP,9,9,3
HSB122.IPC,Human,HSB122,631,IPC,9,9,3
HSB122.ITC,Human,HSB122,631,ITC,9,9,3
HSB122.M1C,Human,HSB122,631,M1C,9,9,3
HSB122.MD,Human,HSB122,631,MD,9,9,3
HSB122.MFC,Human,HSB122,631,MFC,9,9,3
HSB122.OFC,Human,HSB122,631,OFC,9,9,3
HSB122.S1C,Human,HSB122,631,S1C,9,9,3
HSB122.STC,Human,HSB122,631,STC,9,9,3
HSB122.STR,Human,HSB122,631,STR,9,9,3
HSB122.V1C,Human,HSB122,631,V1C,9,9,3
HSB122.VFC,Human,HSB122,631,VFC,9,9,3
HSB173.CBC,Human,HSB173,1175,CBC,10,10,3
HSB172.CBC,Human,HSB172,1302,CBC,10,10,3
HSB118.A1C,Human,HSB118,1727,A1C,10,10,3
HSB118.CBC,Human,HSB118,1727,CBC,10,10,3
HSB118.IPC,Human,HSB118,1727,IPC,10,10,3
HSB118.M1C,Human,HSB118,1727,M1C,10,10,3
HSB118.MD,Human,HSB118,1727,MD,10,10,3
HSB141.A1C,Human,HSB141,3188,A1C,11,11,3
HSB141.CBC,Human,HSB141,3188,CBC,11,11,3
HSB141.HIP,Human,HSB141,3188,HIP,11,11,3
HSB141.IPC,Human,HSB141,3188,IPC,11,11,3
HSB141.M1C,Human,HSB141,3188,M1C,11,11,3
HSB141.MD,Human,HSB141,3188,MD,11,11,3
HSB141.OFC,Human,HSB141,3188,OFC,11,11,3
HSB141.S1C,Human,HSB141,3188,S1C,11,11,3
HSB141.STC,Human,HSB141,3188,STC,11,11,3
HSB141.V1C,Human,HSB141,3188,V1C,11,11,3
HSB174.A1C,Human,HSB174,3278,A1C,11,11,3
HSB174.AMY,Human,HSB174,3278,AMY,11,11,3
HSB174.CBC,Human,HSB174,3278,CBC,11,11,3
HSB174.HIP,Human,HSB174,3278,HIP,11,11,3
HSB174.IPC,Human,HSB174,3278,IPC,11,11,3
HSB174.OFC,Human,HSB174,3278,OFC,11,11,3
HSB174.STC,Human,HSB174,3278,STC,11,11,3
HSB174.V1C,Human,HSB174,3278,V1C,11,11,3
HSB174.VFC,Human,HSB174,3278,VFC,11,11,3
HSB175.A1C,Human,HSB175,4184,A1C,11,11,3
HSB175.AMY,Human,HSB175,4184,AMY,11,11,3
HSB175.CBC,Human,HSB175,4184,CBC,11,11,3
HSB175.DFC,Human,HSB175,4184,DFC,11,11,3
HSB175.HIP,Human,HSB175,4184,HIP,11,11,3
HSB175.IPC,Human,HSB175,4184,IPC,11,11,3
HSB175.ITC,Human,HSB175,4184,ITC,11,11,3
HSB175.M1C,Human,HSB175,4184,M1C,11,11,3
HSB175.MFC,Human,HSB175,4184,MFC,11,11,3
HSB175.OFC,Human,HSB175,4184,OFC,11,11,3
HSB175.S1C,Human,HSB175,4184,S1C,11,11,3
HSB175.STC,Human,HSB175,4184,STC,11,11,3
HSB175.V1C,Human,HSB175,4184,V1C,11,11,3
HSB175.VFC,Human,HSB175,4184,VFC,11,11,3
HSB124.A1C,Human,HSB124,5014,A1C,12,12,3
HSB124.CBC,Human,HSB124,5014,CBC,12,12,3
HSB124.DFC,Human,HSB124,5014,DFC,12,12,3
HSB124.IPC,Human,HSB124,5014,IPC,12,12,3
HSB124.ITC,Human,HSB124,5014,ITC,12,12,3
HSB124.M1C,Human,HSB124,5014,M1C,12,12,3
HSB124.MFC,Human,HSB124,5014,MFC,12,12,3
HSB124.OFC,Human,HSB124,5014,OFC,12,12,3
HSB124.S1C,Human,HSB124,5014,S1C,12,12,3
HSB124.STC,Human,HSB124,5014,STC,12,12,3
HSB124.V1C,Human,HSB124,5014,V1C,12,12,3
HSB124.VFC,Human,HSB124,5014,VFC,12,12,3
HSB119.A1C,Human,HSB119,5745,A1C,12,12,3
HSB119.AMY,Human,HSB119,5745,AMY,12,12,3
HSB119.CBC,Human,HSB119,5745,CBC,12,12,3
HSB119.DFC,Human,HSB119,5745,DFC,12,12,3
HSB119.IPC,Human,HSB119,5745,IPC,12,12,3
HSB119.ITC,Human,HSB119,5745,ITC,12,12,3
HSB119.M1C,Human,HSB119,5745,M1C,12,12,3
HSB119.MD,Human,HSB119,5745,MD,12,12,3
HSB119.MFC,Human,HSB119,5745,MFC,12,12,3
HSB119.OFC,Human,HSB119,5745,OFC,12,12,3
HSB119.S1C,Human,HSB119,5745,S1C,12,12,3
HSB119.STC,Human,HSB119,5745,STC,12,12,3
HSB119.STR,Human,HSB119,5745,STR,12,12,3
HSB119.V1C,Human,HSB119,5745,V1C,12,12,3
HSB119.VFC,Human,HSB119,5745,VFC,12,12,3
HSB127.A1C,Human,HSB127,7206,A1C,12,12,3
HSB127.AMY,Human,HSB127,7206,AMY,12,12,3
HSB127.CBC,Human,HSB127,7206,CBC,12,12,3
HSB127.DFC,Human,HSB127,7206,DFC,12,12,3
HSB127.HIP,Human,HSB127,7206,HIP,12,12,3
HSB127.IPC,Human,HSB127,7206,IPC,12,12,3
HSB127.ITC,Human,HSB127,7206,ITC,12,12,3
HSB127.M1C,Human,HSB127,7206,M1C,12,12,3
HSB127.MD,Human,HSB127,7206,MD,12,12,3
HSB127.MFC,Human,HSB127,7206,MFC,12,12,3
HSB127.OFC,Human,HSB127,7206,OFC,12,12,3
HSB127.S1C,Human,HSB127,7206,S1C,12,12,3
HSB127.STC,Human,HSB127,7206,STC,12,12,3
HSB127.STR,Human,HSB127,7206,STR,12,12,3
HSB127.V1C,Human,HSB127,7206,V1C,12,12,3
HSB127.VFC,Human,HSB127,7206,VFC,12,12,3
HSB130.A1C,Human,HSB130,7936,A1C,13,13,3
HSB130.AMY,Human,HSB130,7936,AMY,13,13,3
HSB130.CBC,Human,HSB130,7936,CBC,13,13,3
HSB130.DFC,Human,HSB130,7936,DFC,13,13,3
HSB130.HIP,Human,HSB130,7936,HIP,13,13,3
HSB130.IPC,Human,HSB130,7936,IPC,13,13,3
HSB130.ITC,Human,HSB130,7936,ITC,13,13,3
HSB130.M1C,Human,HSB130,7936,M1C,13,13,3
HSB130.MD,Human,HSB130,7936,MD,13,13,3
HSB130.MFC,Human,HSB130,7936,MFC,13,13,3
HSB130.OFC,Human,HSB130,7936,OFC,13,13,3
HSB130.S1C,Human,HSB130,7936,S1C,13,13,3
HSB130.STC,Human,HSB130,7936,STC,13,13,3
HSB130.STR,Human,HSB130,7936,STR,13,13,3
HSB130.V1C,Human,HSB130,7936,V1C,13,13,3
HSB130.VFC,Human,HSB130,7936,VFC,13,13,3
HSB136.A1C,Human,HSB136,8667,A1C,13,13,3
HSB136.CBC,Human,HSB136,8667,CBC,13,13,3
HSB136.DFC,Human,HSB136,8667,DFC,13,13,3
HSB136.HIP,Human,HSB136,8667,HIP,13,13,3
HSB136.IPC,Human,HSB136,8667,IPC,13,13,3
HSB136.ITC,Human,HSB136,8667,ITC,13,13,3
HSB136.M1C,Human,HSB136,8667,M1C,13,13,3
HSB136.MFC,Human,HSB136,8667,MFC,13,13,3
HSB136.OFC,Human,HSB136,8667,OFC,13,13,3
HSB136.S1C,Human,HSB136,8667,S1C,13,13,3
