"","time","cellType","name"
"338",5,"RG","54-5"
"339",5,"Other","55-5"
"340",5,"EN","56-5"
"341",5,"Other","57-5"
"342",5,"Other","58-5"
"343",5,"Other","59-5"
"344",5,"IPC","60-5"
"345",5,"IPC","61-5"
"346",5,"RG","62-5"
"347",5,"IPC","63-5"
"348",5,"Other","64-5"
"349",5,"IN","65-5"
"350",5,"IN","66-5"
"351",5,"Other","67-5"
"352",5,"RG","68-5"
"353",5,"IN","69-5"
"354",5,"RG","70-5"
"355",5,"Other","71-5"
"356",6,"IN","1-6"
"357",6,"IN","2-6"
"358",6,"EN","3-6"
"359",6,"IN","4-6"
"360",6,"EN","5-6"
"361",6,"Other","6-6"
"362",6,"EN","7-6"
"363",6,"RG","8-6"
"364",6,"IN","9-6"
"365",6,"IN","10-6"
"366",6,"IN","11-6"
"367",6,"RG","12-6"
"368",6,"EN","13-6"
"369",6,"IN","14-6"
"370",6,"Other","15-6"
"371",6,"Other","16-6"
"372",6,"EN","17-6"
"373",6,"IPC","18-6"
"374",6,"IN","19-6"
"375",6,"RG","20-6"
"376",6,"Other","21-6"
"377",6,"RG","22-6"
"378",6,"EN","23-6"
"379",6,"IN","24-6"
"380",6,"Other","25-6"
"381",6,"Other","26-6"
"382",6,"Other","27-6"
"383",6,"IPC","28-6"
"384",6,"RG","29-6"
"385",6,"EN","30-6"
"386",6,"IPC","31-6"
"387",6,"Other","32-6"
"388",6,"EN","33-6"
"389",6,"Other","34-6"
"390",6,"IPC","35-6"
"391",6,"EN","36-6"
"392",6,"Other","37-6"
"393",6,"IN","38-6"
"394",6,"IN","39-6"
"395",6,"IN","40-6"
"396",6,"IN","41-6"
"397",6,"EN","42-6"
"398",6,"IPC","43-6"
"399",6,"IPC","44-6"
"400",6,"RG","45-6"
"401",6,"IPC","46-6"
"402",6,"IPC","47-6"
"403",6,"EN","48-6"
"404",6,"EN","49-6"
"405",6,"Other","50-6"
"406",6,"Other","51-6"
"407",6,"IPC","52-6"
"408",6,"Other","53-6"
"409",6,"IPC","54-6"
"410",6,"IN","55-6"
"411",6,"IPC","56-6"
"412",6,"RG","57-6"
"413",6,"EN","58-6"
"414",6,"IPC","59-6"
"415",6,"IPC","60-6"
"416",6,"EN","61-6"
"417",6,"IPC","62-6"
"418",6,"Other","63-6"
"419",6,"IN","64-6"
"420",6,"IPC","65-6"
"421",6,"RG","66-6"
"422",6,"IPC","67-6"
"423",6,"IN","68-6"
"424",6,"IN","69-6"
"425",6,"IN","70-6"
"426",6,"IN","71-6"
"427",7,"IN","1-7"
"428",7,"IPC","2-7"
"429",7,"IN","3-7"
"430",7,"Other","4-7"
"431",7,"IN","5-7"
"432",7,"IN","6-7"
"433",7,"IN","7-7"
"434",7,"IN","8-7"
"435",7,"IN","9-7"
"436",7,"IPC","10-7"
"437",7,"IN","11-7"
"438",7,"IN","12-7"
"439",7,"IN","13-7"
"440",7,"IN","14-7"
"441",7,"EN","15-7"
"442",7,"IN","16-7"
"443",7,"IN","17-7"
"444",7,"Other","18-7"
"445",7,"IPC","19-7"
"446",7,"IN","20-7"
"447",7,"IN","21-7"
"448",7,"IN","22-7"
"449",7,"Other","23-7"
"450",7,"IN","24-7"
"451",7,"IN","25-7"
"452",7,"IN","26-7"
"453",7,"Other","27-7"
"454",7,"IN","28-7"
"455",7,"IN","29-7"
"456",7,"Other","30-7"
"457",7,"IN","31-7"
"458",7,"IN","32-7"
"459",7,"EN","33-7"
"460",7,"IN","34-7"
"461",7,"IN","35-7"
"462",7,"IN","36-7"
"463",7,"IN","37-7"
"464",7,"IN","38-7"
"465",7,"IPC","39-7"
"466",7,"IN","40-7"
"467",7,"IN","41-7"
"468",7,"IN","42-7"
"469",7,"IN","43-7"
"470",7,"IN","44-7"
"471",7,"IN","45-7"
"472",7,"IN","46-7"
"473",7,"IPC","47-7"
"474",7,"IN","48-7"
"475",7,"IN","49-7"
"476",7,"IPC","50-7"
"477",7,"IN","51-7"
"478",7,"IN","52-7"
"479",7,"IN","53-7"
"480",7,"Other","54-7"
"481",7,"IN","55-7"
"482",7,"Other","56-7"
"483",7,"IN","57-7"
"484",7,"IN","58-7"
"485",7,"IN","59-7"
"486",7,"IN","60-7"
"487",7,"IN","61-7"
"488",7,"IN","62-7"
"489",7,"Other","63-7"
"490",7,"IN","64-7"
"491",7,"IN","65-7"
"492",7,"Other","66-7"
"493",7,"IPC","67-7"
"494",7,"EN","68-7"
"495",7,"Other","69-7"
"496",7,"IPC","70-7"
"497",7,"IN","71-7"
