,time,PAM Cluster
HSB119.OFC,12,3
HSB119.S1C,12,3
HSB119.STC,12,3
HSB119.STR,12,3
HSB119.V1C,12,3
HSB119.VFC,12,3
HSB127.A1C,12,3
HSB127.AMY,12,3
HSB127.CBC,12,3
HSB127.DFC,12,3
HSB127.HIP,12,3
HSB127.IPC,12,3
HSB127.ITC,12,3
HSB127.M1C,12,3
HSB127.MD,12,3
HSB127.MFC,12,3
HSB127.OFC,12,3
HSB127.S1C,12,3
HSB127.STC,12,3
HSB127.STR,12,3
HSB127.V1C,12,3
HSB127.VFC,12,3
HSB130.A1C,13,3
HSB130.AMY,13,3
HSB130.CBC,13,3
HSB130.DFC,13,3
HSB130.HIP,13,3
HSB130.IPC,13,3
HSB130.ITC,13,3
HSB130.M1C,13,3
HSB130.MD,13,3
HSB130.MFC,13,3
HSB130.OFC,13,3
HSB130.S1C,13,3
HSB130.STC,13,3
HSB130.STR,13,3
HSB130.V1C,13,3
HSB130.VFC,13,3
HSB136.A1C,13,3
HSB136.CBC,13,3
HSB136.DFC,13,3
HSB136.HIP,13,3
HSB136.IPC,13,3
HSB136.ITC,13,3
HSB136.M1C,13,3
HSB136.MFC,13,3
HSB136.OFC,13,3
HSB136.S1C,13,3
HSB136.STC,13,3
HSB136.VFC,13,3
HSB126.A1C,13,3
HSB126.AMY,13,3
HSB126.CBC,13,3
HSB126.DFC,13,3
HSB126.HIP,13,3
HSB126.IPC,13,3
HSB126.ITC,13,3
HSB126.M1C,13,3
HSB126.MD,13,3
HSB126.MFC,13,3
HSB126.OFC,13,3
HSB126.S1C,13,3
HSB126.STC,13,3
HSB126.V1C,13,3
HSB126.VFC,13,3
HSB145.A1C,13,3
HSB145.AMY,13,3
HSB145.CBC,13,3
HSB145.DFC,13,3
HSB145.HIP,13,3
HSB145.IPC,13,3
HSB145.ITC,13,3
HSB145.M1C,13,3
HSB145.MD,13,3
HSB145.MFC,13,3
HSB145.OFC,13,3
HSB145.S1C,13,3
HSB145.STC,13,3
HSB145.STR,13,3
HSB145.V1C,13,3
HSB145.VFC,13,3
HSB123.A1C,13,3
HSB123.AMY,13,3
HSB123.CBC,13,3
HSB123.DFC,13,3
HSB123.HIP,13,3
HSB123.IPC,13,3
HSB123.ITC,13,3
HSB123.M1C,13,3
